"executionTime","stationBeanList__id","stationBeanList__stationName","stationBeanList__availableDocks","stationBeanList__totalDocks","stationBeanList__latitude","stationBeanList__longitude","stationBeanList__statusValue","stationBeanList__statusKey","stationBeanList__availableBikes","stationBeanList__stAddress1","stationBeanList__stAddress2","stationBeanList__city","stationBeanList__postalCode","stationBeanList__location","stationBeanList__altitude","stationBeanList__testStation","stationBeanList__lastCommunicationTime","stationBeanList__landMark"
"","3210","Pershing Field","6","18","40.742677141","-74.051788633","In Service","1","12","Pershing Field","","","","","","False","2019-11-28 05:26:47 AM",""
"","3211","Newark Ave","21","22","40.72152515","-74.046304543","In Service","1","1","Newark Ave","","","","","","False","2019-11-28 05:25:52 AM",""
"","3212","Christ Hospital","20","22","40.734785818","-74.050443636","In Service","1","2","Christ Hospital","","","","","","False","2019-11-28 05:24:40 AM",""
"","3213","Van Vorst Park","11","22","40.71848892","-74.047726625","In Service","1","11","Van Vorst Park","","","","","","False","2019-11-28 05:25:30 AM",""
"","3214","Essex Light Rail","8","22","40.7127742","-74.0364857","In Service","1","14","Essex Light Rail","","","","","","False","2019-11-28 05:26:57 AM",""
"","3220","5 Corners Library","18","18","40.734961020009514","-74.0595030784607","In Service","1","0","5 Corners Library","","","","","","False","2019-11-28 05:25:33 AM",""
"","3221","47 Ave & 31 St","8","27","40.743","-73.93561","In Service","1","18","47 Ave & 31 St","","","","","","False","2019-11-28 05:27:00 AM",""
"","3225","Baldwin at Montgomery","7","14","40.7236589","-74.0641943","In Service","1","7","Baldwin at Montgomery","","","","","","False","2019-11-28 05:25:41 AM",""
"","3231","E 67 St & Park Ave","23","39","40.76780080148132","-73.96592080593109","In Service","1","16","E 67 St & Park Ave","","","","","","False","2019-11-28 05:25:32 AM",""
"","3232","Bond St & Fulton St","28","31","40.68962188790333","-73.98304268717766","In Service","1","3","Bond St & Fulton St","","","","","","False","2019-11-28 05:24:37 AM",""
"","3233","E 48 St & 5 Ave","9","39","40.75724567911726","-73.97805914282799","In Service","1","29","E 48 St & 5 Ave","","","","","","False","2019-11-28 05:27:02 AM",""
"","3235","E 41 St & Madison Ave","16","31","40.752165280621966","-73.97992193698882","In Service","1","8","E 41 St & Madison Ave","","","","","","False","2019-11-28 05:24:13 AM",""
"","3236","W 42 St & Dyer Ave","3","33","40.75898481399634","-73.99379968643188","In Service","1","30","W 42 St & Dyer Ave","","","","","","False","2019-11-28 05:26:53 AM",""
"","3241","Monroe St & Tompkins Ave","13","19","40.686203","-73.944694","In Service","1","6","Monroe St & Tompkins Ave","","","","","","False","2019-11-28 05:26:45 AM",""
"","3242","Schermerhorn St & Court St","38","39","40.69102925677968","-73.99183362722397","In Service","1","1","Schermerhorn St & Court St","","","","","","False","2019-11-28 05:24:05 AM",""
"","3243","E 58 St & 1 Ave (NE Corner)","5","29","40.75892386377695","-73.96226227283478","In Service","1","24","E 58 St & 1 Ave (NE Corner)","","","","","","False","2019-11-28 05:24:31 AM",""
"","3244","University Pl & E 8 St","27","42","40.73143724085228","-73.99490341544151","In Service","1","14","University Pl & E 8 St","","","","","","False","2019-11-28 05:24:32 AM",""
"","3246","Montague St & Clinton St","39","39","40.694281141397326","-73.99230033159256","In Service","1","0","Montague St & Clinton St","","","","","","False","2019-11-28 05:24:38 AM",""
"","3249","Verona Pl & Fulton St","18","19","40.6803560840434","-73.9476791024208","In Service","1","1","Verona Pl & Fulton St","","","","","","False","2019-11-28 05:26:49 AM",""
"","3254","Soissons Landing","0","29","40.69231660719192","-74.01486575603485","Not In Service","3","0","Soissons Landing","","","","","","False","2019-11-28 05:25:15 AM",""
"","3256","Pier 40 - Hudson River Park","7","23","40.7277140777778","-74.01129573583603","In Service","1","16","Pier 40 - Hudson River Park","","","","","","False","2019-11-28 05:24:03 AM",""
"","3259","9 Ave & W 28 St","5","27","40.74937024193277","-73.99923384189606","In Service","1","22","9 Ave & W 28 St","","","","","","False","2019-11-28 05:27:05 AM",""
"","3260","Mercer St & Bleecker St","18","45","40.72706363348306","-73.99662137031554","In Service","1","26","Mercer St & Bleecker St","","","","","","False","2019-11-28 05:26:34 AM",""
"","3263","Cooper Square & Astor Pl","7","59","40.72951496224949","-73.99075269699097","In Service","1","51","Cooper Square & Astor Pl","","","","","","False","2019-11-28 05:24:32 AM",""
"","3267","Morris Canal","1","14","40.7124188237569","-74.03852552175522","In Service","1","12","Morris Canal","","","","","","False","2019-11-28 05:25:49 AM",""
"","3268","Lafayette Park","7","14","40.71346382669195","-74.06285852193832","In Service","1","7","Lafayette Park","","","","","","False","2019-11-28 05:26:53 AM",""
"","3269","Brunswick & 6th","1","14","40.72601172964625","-74.05038893222809","In Service","1","13","Brunswick & 6th","","","","","","False","2019-11-28 05:23:34 AM",""
"","3270","Jersey & 6th St","2","14","40.72528910781132","-74.04557168483734","In Service","1","12","Jersey & 6th St","","","","","","False","2019-11-28 05:23:41 AM",""
"","3272","Jersey & 3rd","11","14","40.72333158646436","-74.04595255851744","In Service","1","1","Jersey & 3rd","","","","","","False","2019-11-28 05:24:17 AM",""
"","3273","Manila & 1st","16","18","40.721650724879986","-74.04288411140442","In Service","1","2","Manila & 1st","","","","","","False","2019-11-28 05:24:12 AM",""
